source,season,date,team,opponent,venue,result,goals_for,goals_against,xg,xga,sh,sot,dist,fk,pk,pkatt,crdy,crdr,fls,fld,off,crs,tklw,int,og
schedule,2022,2022-11-20 00:00:00,Ecuador,Qatar,Al Bayt Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-20 00:00:00,Qatar,Ecuador,Al Bayt Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-21 00:00:00,England,Iran,Khalifa International Stadium (Neutral Site),W,6,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-21 00:00:00,Iran,England,Khalifa International Stadium (Neutral Site),L,2,6,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-21 00:00:00,Netherlands,Senegal,Al Thumama Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-21 00:00:00,Senegal,Netherlands,Al Thumama Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-21 00:00:00,United States,Wales,Ahmed bin Ali Stadium (Neutral Site),D,1,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-21 00:00:00,Wales,United States,Ahmed bin Ali Stadium (Neutral Site),D,1,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,Argentina,Saudi Arabia,Lusail Iconic Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,Australia,France,Al Janoub Stadium (Neutral Site),L,1,4,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,Denmark,Tunisia,Education City Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,France,Australia,Al Janoub Stadium (Neutral Site),W,4,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,Mexico,Poland,Stadium 974 (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,Poland,Mexico,Stadium 974 (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,Saudi Arabia,Argentina,Lusail Iconic Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-22 00:00:00,Tunisia,Denmark,Education City Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Belgium,Canada,Ahmed bin Ali Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Canada,Belgium,Ahmed bin Ali Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Costa Rica,Spain,Al Thumama Stadium (Neutral Site),L,0,7,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Croatia,Morocco,Al Bayt Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Germany,Japan,Khalifa International Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Japan,Germany,Khalifa International Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Morocco,Croatia,Al Bayt Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-23 00:00:00,Spain,Costa Rica,Al Thumama Stadium (Neutral Site),W,7,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,Brazil,Serbia,Lusail Iconic Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,Cameroon,Switzerland,Al Janoub Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,Ghana,Portugal,Stadium 974 (Neutral Site),L,2,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,Portugal,Ghana,Stadium 974 (Neutral Site),W,3,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,Serbia,Brazil,Lusail Iconic Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,South Korea,Uruguay,Education City Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,Switzerland,Cameroon,Al Janoub Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-24 00:00:00,Uruguay,South Korea,Education City Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,Ecuador,Netherlands,Khalifa International Stadium (Neutral Site),D,1,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,England,United States,Al Bayt Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,Iran,Wales,Ahmed bin Ali Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,Netherlands,Ecuador,Khalifa International Stadium (Neutral Site),D,1,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,Qatar,Senegal,Al Thumama Stadium (Neutral Site),L,1,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,Senegal,Qatar,Al Thumama Stadium (Neutral Site),W,3,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,United States,England,Al Bayt Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-25 00:00:00,Wales,Iran,Ahmed bin Ali Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,Argentina,Mexico,Lusail Iconic Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,Australia,Tunisia,Al Janoub Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,Denmark,France,Stadium 974 (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,France,Denmark,Stadium 974 (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,Mexico,Argentina,Lusail Iconic Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,Poland,Saudi Arabia,Education City Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,Saudi Arabia,Poland,Education City Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-26 00:00:00,Tunisia,Australia,Al Janoub Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Belgium,Morocco,Al Thumama Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Canada,Croatia,Khalifa International Stadium (Neutral Site),L,1,4,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Costa Rica,Japan,Ahmed bin Ali Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Croatia,Canada,Khalifa International Stadium (Neutral Site),W,4,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Germany,Spain,Al Bayt Stadium (Neutral Site),D,1,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Japan,Costa Rica,Ahmed bin Ali Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Morocco,Belgium,Al Thumama Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-27 00:00:00,Spain,Germany,Al Bayt Stadium (Neutral Site),D,1,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,Brazil,Switzerland,Stadium 974 (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,Cameroon,Serbia,Al Janoub Stadium (Neutral Site),D,3,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,Ghana,South Korea,Education City Stadium (Neutral Site),W,3,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,Portugal,Uruguay,Lusail Iconic Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,Serbia,Cameroon,Al Janoub Stadium (Neutral Site),D,3,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,South Korea,Ghana,Education City Stadium (Neutral Site),L,2,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,Switzerland,Brazil,Stadium 974 (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-28 00:00:00,Uruguay,Portugal,Lusail Iconic Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,Ecuador,Senegal,Khalifa International Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,England,Wales,Ahmed bin Ali Stadium (Neutral Site),W,3,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,Iran,United States,Al Thumama Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,Netherlands,Qatar,Al Bayt Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,Qatar,Netherlands,Al Bayt Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,Senegal,Ecuador,Khalifa International Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,United States,Iran,Al Thumama Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-29 00:00:00,Wales,England,Ahmed bin Ali Stadium (Neutral Site),L,0,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,Argentina,Poland,Stadium 974 (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,Australia,Denmark,Al Janoub Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,Denmark,Australia,Al Janoub Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,France,Tunisia,Education City Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,Mexico,Saudi Arabia,Lusail Iconic Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,Poland,Argentina,Stadium 974 (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,Saudi Arabia,Mexico,Lusail Iconic Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-11-30 00:00:00,Tunisia,France,Education City Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Belgium,Croatia,Ahmed bin Ali Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Canada,Morocco,Al Thumama Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Costa Rica,Germany,Al Bayt Stadium (Neutral Site),L,2,4,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Croatia,Belgium,Ahmed bin Ali Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Germany,Costa Rica,Al Bayt Stadium (Neutral Site),W,4,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Japan,Spain,Khalifa International Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Morocco,Canada,Al Thumama Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-01 00:00:00,Spain,Japan,Khalifa International Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,Brazil,Cameroon,Lusail Iconic Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,Cameroon,Brazil,Lusail Iconic Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,Ghana,Uruguay,Al Janoub Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,Portugal,South Korea,Education City Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,Serbia,Switzerland,Stadium 974 (Neutral Site),L,2,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,South Korea,Portugal,Education City Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,Switzerland,Serbia,Stadium 974 (Neutral Site),W,3,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-02 00:00:00,Uruguay,Ghana,Al Janoub Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-03 00:00:00,Argentina,Australia,Ahmed bin Ali Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-03 00:00:00,Australia,Argentina,Ahmed bin Ali Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-03 00:00:00,Netherlands,United States,Khalifa International Stadium (Neutral Site),W,3,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-03 00:00:00,United States,Netherlands,Khalifa International Stadium (Neutral Site),L,1,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-04 00:00:00,England,Senegal,Al Bayt Stadium (Neutral Site),W,3,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-04 00:00:00,France,Poland,Al Thumama Stadium (Neutral Site),W,3,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-04 00:00:00,Poland,France,Al Thumama Stadium (Neutral Site),L,1,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-04 00:00:00,Senegal,England,Al Bayt Stadium (Neutral Site),L,0,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-05 00:00:00,Brazil,South Korea,Stadium 974 (Neutral Site),W,4,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-05 00:00:00,Croatia,Japan,Al Janoub Stadium (Neutral Site),W,3,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-05 00:00:00,Japan,Croatia,Al Janoub Stadium (Neutral Site),L,1,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-05 00:00:00,South Korea,Brazil,Stadium 974 (Neutral Site),L,1,4,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-06 00:00:00,Morocco,Spain,Education City Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-06 00:00:00,Portugal,Switzerland,Lusail Iconic Stadium (Neutral Site),W,6,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-06 00:00:00,Spain,Morocco,Education City Stadium (Neutral Site),D,0,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-06 00:00:00,Switzerland,Portugal,Lusail Iconic Stadium (Neutral Site),L,1,6,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-09 00:00:00,Argentina,Netherlands,Lusail Iconic Stadium (Neutral Site),W,4,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-09 00:00:00,Brazil,Croatia,Education City Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-09 00:00:00,Croatia,Brazil,Education City Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-09 00:00:00,Netherlands,Argentina,Lusail Iconic Stadium (Neutral Site),L,2,4,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-10 00:00:00,England,France,Al Bayt Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-10 00:00:00,France,England,Al Bayt Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-10 00:00:00,Morocco,Portugal,Al Thumama Stadium (Neutral Site),W,1,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-10 00:00:00,Portugal,Morocco,Al Thumama Stadium (Neutral Site),L,0,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-13 00:00:00,Argentina,Croatia,Lusail Iconic Stadium (Neutral Site),W,3,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-13 00:00:00,Croatia,Argentina,Lusail Iconic Stadium (Neutral Site),L,0,3,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-14 00:00:00,France,Morocco,Al Bayt Stadium (Neutral Site),W,2,0,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-14 00:00:00,Morocco,France,Al Bayt Stadium (Neutral Site),L,0,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-17 00:00:00,Croatia,Morocco,Khalifa International Stadium (Neutral Site),W,2,1,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-17 00:00:00,Morocco,Croatia,Khalifa International Stadium (Neutral Site),L,1,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-18 00:00:00,Argentina,France,Lusail Iconic Stadium (Neutral Site),W,3,2,,,,,,,,,,,,,,,,,
schedule,2022,2022-12-18 00:00:00,France,Argentina,Lusail Iconic Stadium (Neutral Site),L,2,3,,,,,,,,,,,,,,,,,
schedule,2026,2026-06-11 00:00:00,Czechia,South Korea,Estadio Akron (Neutral Site),,,,,,,,,,,,,,,,,,,,
schedule,2026,2026-06-11 00:00:00,Mexico,South Africa,Estadio Banorte (Neutral Site),,,,,,,,,,,,,,,,,,,,
schedule,2026,2026-06-11 00:00:00,South Africa,Mexico,Estadio Banorte (Neutral Site),,,,,,,,,,,,,,,,,,,,
